,Budapest,Chania,Gzira,Leuven,Milan,Munich
Budapest,0.9999999999999999,-0.042559024795670634,-0.9679799362102172,0.9013751864485976,-0.6924041342613392,0.8186264213784775
Chania,-0.042559024795670634,0.9999999999999999,0.15493193783782203,0.37090814275136963,-0.5840848818642569,-0.5587891751856594
Gzira,-0.9679799362102172,0.15493193783782203,1.0,-0.7944643152412448,0.5155872882689245,-0.79972544295029
Leuven,0.9013751864485976,0.37090814275136963,-0.7944643152412448,0.9999999999999999,-0.928862369216698,0.5559436822844721
Milan,-0.6924041342613392,-0.5840848818642569,0.5155872882689245,-0.928862369216698,0.9999999999999999,-0.3334520031461851
Munich,0.8186264213784775,-0.5587891751856594,-0.79972544295029,0.5559436822844721,-0.3334520031461851,1.0000000000000002
